"cou_id","cou_name","cou_shortname","created_at","updated_at","cou_latitude","cou_longitude","cou_reg_id"
"1","Australia","AU","2015-03-14 06:10:10.0","2015-08-19 11:42:14.0","-27.0","133.0","1"
"3","Japan","JP","2015-03-14 06:10:10.0","2015-03-19 14:00:47.0","36.0","138.0","3"
"10","UK","UK","2015-03-14 06:10:10.0","2018-02-28 14:46:32.0","51.3","0.74","2"
"18","France","FR","2015-03-14 06:10:10.0","2015-08-19 11:42:15.0","46.0","2.0","2"
"19","Malaysia","MY","2015-03-14 06:10:10.0","2017-03-07 00:00:00.0","3.8","101.41","1"
"21","Singapore","SG","2015-03-14 06:10:10.0","2017-03-07 00:00:00.0","1.17","103.5","1"
"26","Hong Kong","HK","2015-03-14 06:10:10.0","2015-08-19 11:42:15.0","22.25","114.17","1"
"163","India","IN","2015-03-19 14:03:06.0","2017-03-07 00:00:00.0","28.36","77.13","1"
"166","Korea","KR","2015-03-19 14:06:16.0","2015-10-21 13:15:34.0","37.0","127.5","1"
"167","USA","US","2015-03-19 14:07:38.0","2018-03-05 13:14:09.0","38.0","-97.0","4"
"185","Italy","IT","2015-03-23 14:24:38.0","2015-08-19 11:42:15.0","42.83","12.83","2"
"587","China","CN","0000-00-00 00:00:00","2017-09-28 17:23:41.0","35.0","105.0","1"
"588","Indonesia","ID","0000-00-00 00:00:00","2017-03-07 00:00:00.0","-6.12","106.49","1"
"589","Taiwan","TW","0000-00-00 00:00:00","2017-09-28 17:21:56.0","23.5","121.0","1"
"590","Unknown",null,"2015-04-02 04:27:57.0","2015-08-19 11:42:15.0","0.0","0.0","1"

